,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
40,0.85,0.711,7,-4.492,0,0.0497,0.154,9.66e-05,0.088,0.394,125.998,spotify:track:1jue7k91j4oP3MaQRbGqgZ,217639,4
41,0.733,0.559,5,-8.098,0,0.139,0.194,0.0,0.122,0.513,154.961,spotify:track:4RhGZIf5RIHMCTih8LgBF6,198467,4
42,0.758,0.68,6,-7.685,0,0.0808,0.199,0.184,0.243,0.127,138.079,spotify:track:3GKN5PYjlS7baPtrbdLtev,210652,4
43,0.514,0.753,7,-7.352,0,0.0817,0.0416,0.0039,0.205,0.109,138.054,spotify:track:1ChzNnL5BTDCDYQHxrT1l9,201467,4
44,0.82,0.713,0,-8.119,1,0.0557,0.115,0.00893,0.0771,0.936,123.988,spotify:track:1Czm8HWes7qxER0Ym9n8MA,167903,4
45,0.782,0.836,4,-6.136,0,0.167,0.0494,0.00134,0.235,0.678,139.986,spotify:track:56oWBEoaWwiyaPLe0PqB0k,133714,4
46,0.794,0.821,8,-5.485,0,0.191,0.104,0.000231,0.133,0.359,104.938,spotify:track:2d6MLyem14a8ns7Swd1Q1t,167446,4
47,0.817,0.785,6,-4.798,0,0.0492,0.0176,0.0104,0.0742,0.546,125.02,spotify:track:6VumqAyH5W270oIWCQE2Cc,221040,4
48,0.839,0.804,5,-4.882,0,0.0877,0.136,0.000104,0.187,0.619,120.077,spotify:track:2cVQVhgyRPzJusXAuklkWF,167381,4
49,0.779,0.705,0,-3.895,1,0.0344,0.369,7.91e-06,0.124,0.946,101.022,spotify:track:27u7t9d7ZQoyjsCROHuZJ3,178374,4
50,0.711,0.76,8,-8.354,0,0.0745,0.396,0.345,0.12,0.326,126.012,spotify:track:6U2rUJ0JpRNj81ZpNQ5taW,182811,4
